president,enddate,Approve,Disapprove
Donald Trump,3/30/2017,37.608387,58.626013
Donald Trump,3/30/2017,39.948636,51.76658
Donald Trump,3/31/2017,40.861441,54.539189
Donald Trump,3/31/2017,39.948636,52.76658
Donald Trump,4/1/2017,48.651563,44.980389
Donald Trump,4/2/2017,48.751563,45.880389
Donald Trump,4/1/2017,46.686784,50.055805
Donald Trump,4/1/2017,38.948636,54.76658
Donald Trump,4/1/2017,38.861441,55.539189
Donald Trump,4/2/2017,36.608387,59.626013
Donald Trump,4/3/2017,41.769187,53.41321
Donald Trump,4/3/2017,47.551563,48.080389
Donald Trump,4/3/2017,36.750369,55.742388
Donald Trump,4/2/2017,37.948636,52.76658
Donald Trump,4/3/2017,37.608387,58.626013
Donald Trump,4/2/2017,38.861441,55.539189
Donald Trump,4/3/2017,38.948636,52.76658
Donald Trump,4/4/2017,46.851563,49.280389
Donald Trump,4/3/2017,39.861441,53.539189
Donald Trump,4/4/2017,40.608387,55.626013
Donald Trump,4/4/2017,40.948636,49.76658
Donald Trump,4/5/2017,46.351563,49.680389
Donald Trump,4/6/2017,39.613321,55.248116
Donald Trump,4/4/2017,42.861441,50.539189
Donald Trump,4/4/2017,39.948636,50.76658
Donald Trump,4/5/2017,42.948636,47.76658
Donald Trump,4/6/2017,45.651563,50.180389
Donald Trump,4/5/2017,36.914807,59.031268
Donald Trump,4/5/2017,40.608387,55.626013
Donald Trump,4/5/2017,41.861441,51.539189
Donald Trump,4/6/2017,39.608387,56.626013
Donald Trump,4/6/2017,39.948636,51.76658
Donald Trump,4/6/2017,40.861441,52.539189
Donald Trump,4/7/2017,45.551563,48.880389
Donald Trump,4/6/2017,38.237814,48.82106
Donald Trump,4/7/2017,40.861441,52.539189
Donald Trump,4/8/2017,46.751563,47.680389
Donald Trump,4/7/2017,38.948636,51.76658
Donald Trump,4/8/2017,40.861441,52.539189
Donald Trump,4/9/2017,47.851563,46.380389
Donald Trump,4/8/2017,38.948636,51.76658
Donald Trump,4/9/2017,38.608387,57.626013
Donald Trump,4/9/2017,40.861441,51.539189
Donald Trump,4/11/2017,41.162813,50.477711
Donald Trump,4/9/2017,47.686784,48.055805
Donald Trump,4/9/2017,44.37161,48.419838
Donald Trump,4/10/2017,41.608387,54.626013
Donald Trump,4/10/2017,49.351563,44.880389
Donald Trump,4/10/2017,40.861441,52.539189
Donald Trump,4/11/2017,49.851563,45.180389
Donald Trump,4/10/2017,43.948636,49.76658
Donald Trump,4/11/2017,41.861441,50.539189
Donald Trump,4/11/2017,41.608387,54.626013
Donald Trump,4/13/2017,41.613321,52.248116
Donald Trump,4/12/2017,48.851563,45.880389
Donald Trump,4/11/2017,40.948636,51.76658
Donald Trump,4/12/2017,42.608387,53.626013
Donald Trump,4/11/2017,40.948636,51.76658
Donald Trump,4/13/2017,48.351563,46.580389
Donald Trump,4/12/2017,36.914807,58.031268
Donald Trump,4/12/2017,42.948636,48.76658
Donald Trump,4/18/2017,41.162813,57.477711
Donald Trump,4/12/2017,40.861441,52.539189
Donald Trump,4/13/2017,40.948636,51.76658
Donald Trump,4/14/2017,47.251563,48.180389
Donald Trump,4/13/2017,42.608387,53.626013
Donald Trump,4/12/2017,40.05001,48.794843
Donald Trump,4/13/2017,40.861441,53.539189
Donald Trump,4/14/2017,42.948636,48.76658
Donald Trump,4/15/2017,46.051563,49.280389
Donald Trump,4/14/2017,39.861441,53.539189
Donald Trump,4/16/2017,44.608387,51.626013
Donald Trump,4/15/2017,42.948636,48.76658
Donald Trump,4/15/2017,41.861441,51.539189
Donald Trump,4/16/2017,45.751563,48.780389
Donald Trump,4/15/2017,47.686784,46.055805
Donald Trump,4/17/2017,44.608387,51.626013
Donald Trump,4/17/2017,44.551563,51.080389
Donald Trump,4/18/2017,41.750369,54.742388
Donald Trump,4/18/2017,43.751563,51.580389
Donald Trump,4/17/2017,41.861441,50.539189
Donald Trump,4/17/2017,43.746612,51.481791
Donald Trump,4/20/2017,42.613321,53.248116
Donald Trump,4/18/2017,41.948636,50.76658
Donald Trump,4/18/2017,43.948636,47.76658
Donald Trump,4/18/2017,42.861441,50.539189
Donald Trump,4/18/2017,42.608387,53.626013
Donald Trump,4/19/2017,43.351563,51.680389
Donald Trump,4/19/2017,43.861441,48.539189
Donald Trump,4/19/2017,41.948636,49.76658
Donald Trump,4/18/2017,42.608485,50.209337
Donald Trump,4/19/2017,43.608387,52.626013
Donald Trump,4/18/2017,35.914807,59.031268
Donald Trump,4/20/2017,42.951563,51.880389
Donald Trump,4/20/2017,43.608387,52.626013
Donald Trump,4/20/2017,39.237814,54.82106
Donald Trump,4/20/2017,41.584929,52.955382
Donald Trump,4/25/2017,41.393949,46.663376
Donald Trump,4/20/2017,43.861441,49.539189
Donald Trump,4/20/2017,40.948636,46.76658
Donald Trump,4/21/2017,41.151563,53.380389
Donald Trump,4/20/2017,42.718064,51.689878
Donald Trump,4/23/2017,45.769187,48.41321
Donald Trump,4/21/2017,42.861441,50.539189
Donald Trump,4/21/2017,46.948636,46.76658
Donald Trump,4/20/2017,40.095499,50.465112
Donald Trump,4/22/2017,41.451563,52.180389
Donald Trump,4/23/2017,45.608387,50.626013
Donald Trump,4/23/2017,41.351563,52.080389
Donald Trump,4/22/2017,40.861441,52.539189
Donald Trump,4/24/2017,45.19239,47.503737
Donald Trump,4/23/2017,43.948636,49.76658
Donald Trump,4/24/2017,41.608387,54.626013
Donald Trump,4/24/2017,50.686784,46.055805
Donald Trump,4/23/2017,40.861441,52.539189
Donald Trump,4/24/2017,41.051563,52.480389
Donald Trump,4/24/2017,40.861441,53.539189
Donald Trump,4/25/2017,41.851563,51.480389
Donald Trump,4/24/2017,42.37161,52.419838
Donald Trump,4/24/2017,41.948636,48.76658
Donald Trump,4/25/2017,39.861441,54.539189
