enddate,approval_type,rate,year
2017-03-05,approve,48.151563,2017
2017-03-05,disapprove,45.280389,2017
2017-03-04,approve,43.861441,2017
2017-03-04,disapprove,48.539189,2017
2017-03-05,approve,45.613321,2017
2017-03-05,disapprove,50.248116,2017
2017-03-05,approve,45.921962,2017
2017-03-05,disapprove,44.497249,2017
2017-03-05,approve,46.608387,2017
2017-03-05,disapprove,49.626013,2017
2017-03-04,approve,41.948636,2017
2017-03-04,disapprove,49.76658,2017
2017-03-06,approve,45.608387,2017
2017-03-06,disapprove,50.626013,2017
2017-03-05,approve,44.861441,2017
2017-03-05,disapprove,48.539189,2017
2017-03-05,approve,43.262775,2017
2017-03-05,disapprove,47.326316,2017
2017-03-06,approve,48.951563,2017
2017-03-06,disapprove,44.580389,2017
2017-03-05,approve,42.948636,2017
2017-03-05,disapprove,50.76658,2017
2017-03-06,approve,42.750369,2017
2017-03-06,disapprove,50.742388,2017
2017-03-06,approve,49.686784,2017
2017-03-06,disapprove,46.055805,2017
2017-03-07,approve,44.404286,2017
2017-03-07,disapprove,47.081642,2017
2017-03-07,approve,48.951563,2017
2017-03-07,disapprove,44.580389,2017
2017-03-06,approve,40.948636,2017
2017-03-06,disapprove,48.76658,2017
2017-03-06,approve,41.351563,2017
2017-03-06,disapprove,43.580389,2017
2017-03-06,approve,43.861441,2017
2017-03-06,disapprove,49.539189,2017
2017-03-09,approve,44.613321,2017
2017-03-09,disapprove,51.248116,2017
2017-03-07,approve,40.948636,2017
2017-03-07,disapprove,51.76658,2017
2017-03-12,approve,45.162813,2017
2017-03-12,disapprove,51.477711,2017
2017-03-08,approve,49.651563,2017
2017-03-08,disapprove,44.180389,2017
2017-03-07,approve,42.861441,2017
2017-03-07,disapprove,51.539189,2017
2017-03-07,approve,43.608387,2017
2017-03-07,disapprove,52.626013,2017
2017-03-07,approve,42.948636,2017
2017-03-07,disapprove,50.76658,2017
2017-03-09,approve,50.351563,2017
2017-03-09,disapprove,43.880389,2017
2017-03-11,approve,43.266953,2017
2017-03-11,disapprove,50.752359,2017
2017-03-08,approve,42.948636,2017
2017-03-08,disapprove,50.76658,2017
2017-03-08,approve,43.608387,2017
2017-03-08,disapprove,52.626013,2017
2017-03-08,approve,41.861441,2017
2017-03-08,disapprove,51.539189,2017
2017-03-09,approve,42.861441,2017
2017-03-09,disapprove,50.539189,2017
2017-03-10,approve,50.051563,2017
2017-03-10,disapprove,44.780389,2017
2017-03-09,approve,42.608387,2017
2017-03-09,disapprove,53.626013,2017
2017-03-09,approve,39.948636,2017
2017-03-09,disapprove,50.76658,2017
2017-03-12,approve,36.769187,2017
2017-03-12,disapprove,56.41321,2017
2017-03-11,approve,49.251563,2017
2017-03-11,disapprove,45.480389,2017
2017-03-10,approve,44.861441,2017
2017-03-10,disapprove,47.539189,2017
2017-03-10,approve,40.948636,2017
2017-03-10,disapprove,51.76658,2017
2017-03-11,approve,45.861441,2017
2017-03-11,disapprove,47.539189,2017
2017-03-12,approve,48.451563,2017
2017-03-12,disapprove,46.380389,2017
2017-03-12,approve,41.608387,2017
2017-03-12,disapprove,54.626013,2017
2017-03-11,approve,42.948636,2017
2017-03-11,disapprove,51.76658,2017
2017-03-12,approve,42.608485,2017
2017-03-12,disapprove,50.209337,2017
2017-03-13,approve,51.686784,2017
2017-03-13,disapprove,44.055805,2017
2017-03-13,approve,48.251563,2017
2017-03-13,disapprove,46.880389,2017
2017-03-13,approve,40.608387,2017
2017-03-13,disapprove,54.626013,2017
2017-03-12,approve,39.948636,2017
2017-03-12,disapprove,52.76658,2017
2017-03-12,approve,42.861441,2017
2017-03-12,disapprove,49.539189,2017
2017-03-13,approve,43.948636,2017
2017-03-13,disapprove,49.76658,2017
2017-03-13,approve,39.861441,2017
2017-03-13,disapprove,53.539189,2017
2017-03-14,approve,46.651563,2017
2017-03-14,disapprove,47.480389,2017
2017-03-14,approve,39.608387,2017
2017-03-14,disapprove,55.626013,2017
2017-03-14,approve,40.861441,2017
2017-03-14,disapprove,52.539189,2017
2017-03-15,approve,45.851563,2017
2017-03-15,disapprove,47.280389,2017
2017-03-16,approve,43.613321,2017
2017-03-16,disapprove,52.248116,2017
2017-03-14,approve,41.012924,2017
2017-03-14,disapprove,51.485387,2017
2017-03-14,approve,41.948636,2017
2017-03-14,disapprove,50.76658,2017
2017-03-15,approve,42.861441,2017
2017-03-15,disapprove,51.539189,2017
2017-03-15,approve,39.948636,2017
2017-03-15,disapprove,53.76658,2017
2017-03-16,approve,45.551563,2017
2017-03-16,disapprove,47.580389,2017
2017-03-15,approve,41.608387,2017
2017-03-15,disapprove,54.626013,2017
2017-03-17,approve,45.751563,2017
2017-03-17,disapprove,47.380389,2017
2017-03-16,approve,41.861441,2017
2017-03-16,disapprove,52.539189,2017
2017-03-16,approve,42.608387,2017
2017-03-16,disapprove,53.626013,2017
2017-03-16,approve,43.914807,2017
2017-03-16,disapprove,52.031268,2017
2017-03-16,approve,44.746612,2017
2017-03-16,disapprove,50.481791,2017
2017-03-16,approve,40.948636,2017
2017-03-16,disapprove,49.76658,2017
2017-03-18,approve,43.751563,2017
2017-03-18,disapprove,48.980389,2017
2017-03-17,approve,40.861441,2017
2017-03-17,disapprove,53.539189,2017
2017-03-17,approve,43.948636,2017
2017-03-17,disapprove,48.76658,2017
2017-03-19,approve,43.608387,2017
2017-03-19,disapprove,52.626013,2017
2017-03-18,approve,42.948636,2017
2017-03-18,disapprove,50.76658,2017
2017-03-18,approve,37.861441,2017
2017-03-18,disapprove,56.539189,2017
2017-03-19,approve,46.151563,2017
2017-03-19,disapprove,47.780389,2017
2017-03-17,approve,40.527124,2017
2017-03-17,disapprove,47.830237,2017
2017-03-20,approve,45.19239,2017
2017-03-20,disapprove,49.503737,2017
2017-03-19,approve,39.861441,2017
2017-03-19,disapprove,53.539189,2017
2017-03-19,approve,42.948636,2017
2017-03-19,disapprove,51.76658,2017
2017-03-20,approve,44.608387,2017
2017-03-20,disapprove,51.626013,2017
